	index	raw_category	category	count	nyuId	nyu40id	eigen13id	nyuClass	nyu40class	eigen13class	ModelNet40	ModelNet10	ShapeNetCore55	synsetoffset	wnsynsetid	wnsynsetkey	mpcat40index	mpcat40	OpenSceneMatterport3D40Label	OpenSceneMatterport3D40Index	OpenSceneMatterport3D40Count	OpenSceneMatterport3D80Label	OpenSceneMatterport3D80Index	OpenSceneMatterport3D80Count	OpenSceneMatterport3D160Label	OpenSceneMatterport3D160Index	OpenSceneMatterport3D160Count
0	1	wall	wall	7667	21.0	1.0	12.0	wall	wall	Wall					n04546855	wall.n.01	1	wall	wall	1	7667	wall	1	7667	wall	1	7667
1	2	door	door	2544	28.0	8.0	12.0	door	door	Wall	door				n03221720	door.n.01	4	door	door	2	2544	door	2	2544	door	2	2544
2	3	ceiling	ceiling	2363	4.0	22.0	3.0	ceiling	ceiling	Ceiling					n02990373	ceiling.n.01	17	ceiling	ceiling	3	2363	ceiling	3	2363	ceiling	3	2363
3	4	floor	floor	2252	11.0	2.0	5.0	floor	floor	Floor					n03365592	floor.n.01	2	floor	floor	4	2252	floor	4	2252	floor	4	2252
4	5	picture	picture	2125	64.0	11.0	8.0	picture	picture	Picture					n03931044	picture.n.01	6	picture	picture	5	2125	picture	5	2125	picture	5	2125
5	6	window	window	2013	59.0	9.0	13.0	window	window	Window					n04587648	window.n.01	9	window	window	6	2013	window	6	2013	window	6	2013
6	7	chair	chair	1947	5.0	5.0	4.0	chair	chair	Chair	chair	chair	chair	3001627.0	n03001627	chair.n.01	3	chair	chair	7	1947	chair	7	1947	chair	7	1947
7	8	doorframe	door frame	1935	28.0	8.0	12.0	door	door	Wall	door				n03221720	door.n.01	4	door	door	2	2544	door	2	2544	door	2	2544
8	9	remove	remove	1622	0.0	0.0	0.0	void	void	void							0	void		0	0		0	0		0	0
9	10	pillow	pillow	1335	119.0	18.0	7.0	pillow	pillow	Objects			pillow	3938244.0	n03938244	pillow.n.01	8	cushion	pillow	8	1335	pillow	8	1335	pillow	8	1335
10	11	object	object	1145		40.0	7.0		otherprop	Objects					n00002684	object.n.01	39	objects		0	0		0	0		0	0
11	12	light	light	967	144.0	35.0	7.0	lamp	lamp	Objects	lamp		lamp	3636649.0	n03636649	lamp.n.02	28	lighting	lamp	9	967	lamp	9	967	lamp	9	967
12	13	cabinet	cabinet	785	3.0	3.0	6.0	cabinet	cabinet	Furniture			cabinet	2933112.0	n02933112	cabinet.n.01	7	cabinet	cabinet	10	785	cabinet	10	785	cabinet	10	785
13	14	curtain	curtain	692	89.0	16.0	13.0	curtain	curtain	Window	curtain				n03151077	curtain.n.01	12	curtain	curtain	11	692	curtain	11	692	curtain	11	692
14	15	table	table	691	19.0	7.0	10.0	table	table	Table	table	table	table	4379243.0	n04379243	table.n.02	5	table	table	12	691	table	12	691	table	12	691
15	16	plant	plant	632	82.0	40.0	7.0	plant	otherprop	Objects	plant				n00017222	plant.n.02	14	plant	plant	13	632	plant	13	632	plant	13	632
16	17	decoration	decoration	532		40.0	7.0		otherprop	Objects					n03169390	decoration.n.01	39	objects		0	0		0	0		0	0
17	18	window frame	window frame	526	59.0	9.0	13.0	window	window	Window					n04589593	window_frame.n.01	9	window	window	6	2013	window	6	2013	window	6	2013
18	19	lamp	lamp	540	144.0	35.0	7.0	lamp	lamp	Objects	lamp		lamp	3636649.0	n03636649	lamp.n.02	28	lighting	lamp	9	967	lamp	9	967	lamp	9	967
19	20	mirror	mirror	488	122.0	19.0	7.0	mirror	mirror	Objects					n03773035	mirror.n.01	21	mirror	mirror	14	488	mirror	14	488	mirror	14	488
20	21	towel	towel	437	135.0	27.0	7.0	towel	towel	Objects					n04459362	towel.n.01	20	towel	towel	15	437	towel	15	437	towel	15	437
21	22	sink	sink	417	24.0	34.0	7.0	sink	sink	Objects	sink				n04223580	sink.n.01	15	sink	sink	16	417	sink	16	417	sink	16	417
22	23	shelf	shelf	417	42.0	15.0	6.0	shelves	shelves	Furniture					n04190052	shelf.n.01	31	shelving	shelves	17	417	shelves	17	417	shelves	17	417
23	24	couch	couch	290	83.0	6.0	9.0	sofa	sofa	Sofa	sofa	sofa	sofa	4256520.0	n04256520	sofa.n.01	10	sofa	sofa	18	290	sofa	18	290	sofa	18	290
24	25	dining chair	dining chair	277	5.0	5.0	4.0	chair	chair	Chair	chair	chair	chair	3001627.0	n03001627	chair.n.01	3	chair	chair	7	1947	chair	7	1947	chair	7	1947
25	26	bed	bed	270	157.0	4.0	1.0	bed	bed	Bed	bed	bed	bed	2818832.0	n02818832	bed.n.01	11	bed	bed	19	270	bed	19	270	bed	19	270
26	27	nightstand	nightstand	275	158.0	32.0	6.0	night stand	night stand	Furniture	night_stand	night_stand			n03015254	chest_of_drawers.n.01	13	chest_of_drawers	night stand	20	275	night stand	20	275	night stand	20	275
27	28	toilet	toilet	268	124.0	33.0	7.0	toilet	toilet	Objects	toilet	toilet			n04446276	toilet.n.01	18	toilet	toilet	21	268	toilet	21	268	toilet	21	268
28	29	sofa chair	sofa chair	262	5.0	5.0	4.0	chair	chair	Chair	chair	chair	chair	3001627.0	n03001627	chair.n.01	3	chair	chair	7	1947	chair	7	1947	chair	7	1947
